編號,地震時間,經度,緯度,規模,深度,最大震度,位置
196   ,2002-12-25 15:01:30,121.83,24.46,5.2,55.8,4,宜蘭南澳地震站東偏北方  9.1  公里(宜蘭南澳地震站東偏北方  9.1  公里)
小區域有感地震,2002-12-24 05:19:12,121.68,24.16,3.9,24.9,2,花蓮秀林地震站東北方  11.2  公里(花蓮秀林地震站東北方  11.2  公里)
195   ,2002-12-23 19:54:17,121.53,23.27,4.7,26.2,4,花蓮玉里地震站東偏南方  24.0  公里(花蓮玉里地震站東偏南方  24.0  公里)
小區域有感地震,2002-12-23 11:30:07,121.62,23.92,2.9,8.8,2,花蓮市地震站南方  5.7  公里(花蓮市地震站南方  5.7  公里)
小區域有感地震,2002-12-23 09:06:39,120.57,23.66,3.1,12.0,2,斗六市地震站南偏東方  7.1  公里(斗六市地震站南偏東方  7.1  公里)
小區域有感地震,2002-12-23 08:40:35,121.45,23.94,2.9,15.4,3,花蓮西林地震站北方  14.4  公里(花蓮西林地震站北方  14.4  公里)
小區域有感地震,2002-12-23 05:11:38,121.47,23.93,3.5,16.5,4,花蓮西林地震站北偏東方  13.3  公里(花蓮西林地震站北偏東方  13.3  公里)
194   ,2002-12-22 09:25:14,121.35,22.63,4.6,31.6,2,台東市地震站東偏南方  23.6  公里(台東市地震站東偏南方  23.6  公里)
193   ,2002-12-22 08:59:09,121.91,24.48,3.5,12.7,4,宜蘭蘇澳地震站南偏東方  15.3  公里(宜蘭蘇澳地震站南偏東方  15.3  公里)
192   ,2002-12-17 19:20:58,121.91,24.43,3.9,16.1,4,宜蘭南澳地震站東方  16.5  公里(宜蘭南澳地震站東方  16.5  公里)
191   ,2002-12-16 08:59:46,121.6,24.05,4.2,28.2,3,花蓮秀林地震站南方  3.5  公里(花蓮秀林地震站南方  3.5  公里)
190   ,2002-12-13 09:30:25,121.65,23.17,4.8,41.2,3,台東成功地震站東偏北方  29.5  公里(台東成功地震站東偏北方  29.5  公里)
189   ,2002-12-10 16:29:10,120.52,23.39,4.3,6.5,4,台南東山地震站北方  13.9  公里(台南東山地震站北方  13.9  公里)
小區域有感地震,2002-12-07 11:45:12,121.93,21.42,5.0,18.4,2,台東蘭嶼地震站南偏東方  78.4  公里(台東蘭嶼地震站南偏東方  78.4  公里)
小區域有感地震,2002-12-07 11:25:31,119.93,22.47,3.9,44.6,2,高雄市地震站西偏南  41.1  公里(高雄市地震站西偏南  41.1  公里)
小區域有感地震,2002-12-02 22:45:11,120.6,23.54,3.2,10.5,2,嘉義市地震站東偏北方  18.0  公里(嘉義市地震站東偏北方  18.0  公里)
小區域有感地震,2002-12-02 03:39:16,121.86,24.37,3.4,10.8,2,宜蘭南澳地震站東偏南方  13.2  公里(宜蘭南澳地震站東偏南方  13.2  公里)
188   ,2002-12-01 20:35:16,122.26,23.95,4.7,18.3,1,花蓮市地震站東方  65.8  公里(花蓮市地震站東方  65.8  公里)
小區域有感地震,2002-12-01 07:28:55,120.67,23.46,3.3,12.4,2,嘉義大埔地震站北偏東方  24.2  公里(嘉義大埔地震站北偏東方  24.2  公里)
