編號,地震時間,經度,緯度,規模,深度,最大震度,位置
154   ,2014-12-31 15:54:36,122.57,24.59,5.6,96.1,3,宜蘭縣政府東方  82.8  公里 (位於臺灣東部海域)(臺灣東部海域)
153   ,2014-12-31 11:06:04,121.79,24.82,5.1,68.9,3,宜蘭縣政府北偏東方  10.7  公里 (位於宜蘭縣礁溪鄉)(宜蘭縣礁溪鄉)
小區域有感地震,2014-12-30 21:50:41,122.73,24.89,4.5,121.0,1,宜蘭縣政府東方  99.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-29 22:01:31,120.11,23.0,2.4,17.1,1,臺南市政府西方  7.7  公里 (位於臺南市近海)(臺南市近海)
小區域有感地震,2014-12-28 19:11:34,121.36,23.19,3.6,16.1,2,臺東縣政府北偏東方  52.6  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2014-12-28 09:54:14,121.21,23.15,3.4,19.6,2,臺東縣政府北方  43.8  公里 (位於花蓮縣卓溪鄉)(花蓮縣卓溪鄉)
152   ,2014-12-28 01:08:56,121.69,24.26,4.1,29.7,2,花蓮縣政府北偏東方  31.1  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2014-12-27 20:22:05,122.65,24.55,4.8,96.6,1,宜蘭縣政府東偏南方  92.2  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-25 16:08:43,121.5,24.04,2.8,18.5,2,花蓮縣政府西偏北方  13.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2014-12-23 21:32:04,121.72,24.15,3.0,12.9,3,花蓮縣政府北偏東方  20.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2014-12-23 19:39:21,121.72,24.16,3.2,12.8,3,花蓮縣政府北偏東方  21.7  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2014-12-22 11:30:44,121.45,23.87,2.7,18.0,2,花蓮縣政府西南方  21.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
151   ,2014-12-22 08:53:33,121.85,24.52,3.9,25.3,3,宜蘭縣政府南偏東方  25.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2014-12-21 21:15:56,121.41,23.75,3.0,18.9,3,花蓮縣政府西南方  34.6  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2014-12-21 09:12:52,122.0,24.86,3.7,12.6,2,宜蘭縣政府東偏北方  27.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-20 14:07:19,120.21,23.01,2.7,16.2,2,臺南市政府東北方  3.1  公里 (位於臺南市北區)(臺南市北區)
小區域有感地震,2014-12-19 07:34:43,121.67,24.51,3.3,7.2,3,宜蘭縣政府南偏西方  26.3  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2014-12-19 01:50:58,121.4,23.77,3.1,21.4,2,花蓮縣政府西南方  33.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2014-12-19 01:10:35,121.4,22.23,3.6,21.0,3,臺東縣政府南偏東方  64.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-18 01:09:38,121.62,23.95,1.7,4.5,2,花蓮縣政府南方  4.6  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2014-12-15 18:55:44,121.76,24.42,1.7,4.5,4,宜蘭縣政府南方  34.0  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
150   ,2014-12-15 10:15:43,120.85,24.28,3.3,25.1,1,臺中市政府東北方  23.5  公里 (位於臺中市東勢區)(臺中市東勢區)
149   ,2014-12-14 13:06:03,121.47,23.13,4.6,43.0,4,臺東縣政府東北方  53.0  公里 (位於臺東縣近海)(臺東縣近海)
小區域有感地震,2014-12-14 11:32:13,120.23,23.05,2.7,14.7,2,臺南市政府東北方  8.5  公里 (位於臺南市永康區)(臺南市永康區)
小區域有感地震,2014-12-13 05:50:19,120.48,23.23,4.0,8.3,3,嘉義市政府南方  27.8  公里 (位於臺南市東山區)(臺南市東山區)
148   ,2014-12-11 05:03:39,122.61,25.45,6.7,268.6,3,基隆市政府東偏北方  93.6  公里 (位於臺灣東北部海域)(臺灣東北部海域)
小區域有感地震,2014-12-10 06:43:32,121.4,23.75,3.0,17.4,2,花蓮縣政府西南方  35.2  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
147   ,2014-12-09 21:07:34,122.09,24.41,4.1,22.7,4,宜蘭縣政府東南方  48.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-08 17:09:25,121.42,22.23,4.0,20.1,3,臺東縣政府南偏東方  64.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-07 20:39:41,121.77,24.32,2.7,14.3,2,花蓮縣政府北偏東方  39.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2014-12-06 19:10:57,121.43,23.38,3.2,31.4,1,花蓮縣政府南偏西方  70.9  公里 (位於臺東縣長濱鄉)(臺東縣長濱鄉)
小區域有感地震,2014-12-04 23:41:04,121.58,23.26,3.9,40.1,2,臺東縣政府東北方  70.8  公里 (位於臺灣東部海域)(臺灣東部海域)
146   ,2014-12-04 13:23:13,121.44,24.35,3.9,6.6,3,花蓮縣政府北偏西方  43.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2014-12-04 09:14:28,122.16,24.32,4.5,56.0,2,宜蘭縣政府東南方  60.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-03 06:01:25,122.13,23.75,4.9,28.3,2,花蓮縣政府東偏南方  58.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2014-12-02 19:44:48,121.84,24.38,2.8,16.5,2,宜蘭縣政府南偏東方  39.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
145   ,2014-12-02 18:30:59,121.74,24.67,4.1,70.2,2,宜蘭縣政府南偏西方  7.3  公里 (位於宜蘭縣冬山鄉)(宜蘭縣冬山鄉)
小區域有感地震,2014-12-01 01:21:55,121.4,23.75,3.1,18.6,3,花蓮縣政府西南方  34.7  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
