編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2018-12-31 19:45:46,120.99,24.62,2.6,8.9,2,苗栗縣政府東偏北方  18.8  公里 (位於苗栗縣南庄鄉)(苗栗縣南庄鄉)
139   ,2018-12-29 21:44:57,120.72,23.62,4.1,15.4,4,雲林縣政府東偏南方  21.8  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2018-12-27 08:45:57,120.8,22.58,3.8,6.9,3,臺東縣政府西偏南方  40.7  公里 (位於臺東縣金峰鄉)(臺東縣金峰鄉)
小區域有感地震,2018-12-26 20:02:58,121.47,23.92,3.9,20.2,5,花蓮縣政府西偏南方  17.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
138   ,2018-12-25 11:56:44,120.8,22.59,4.5,5.8,4,臺東縣政府西偏南方  40.6  公里 (位於臺東縣金峰鄉)(臺東縣金峰鄉)
小區域有感地震,2018-12-25 11:43:15,121.53,23.2,4.2,36.1,3,臺東縣政府東北方  63.1  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-12-23 10:54:43,121.7,24.45,4.0,32.3,3,宜蘭縣政府南偏西方  31.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
小區域有感地震,2018-12-23 02:28:22,121.41,23.8,3.5,27.9,3,花蓮縣政府西南方  30.1  公里 (位於花蓮縣萬榮鄉)(花蓮縣萬榮鄉)
小區域有感地震,2018-12-22 22:47:18,121.72,23.96,4.4,51.5,3,花蓮縣政府東偏南方  11.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-12-22 20:23:56,121.61,24.32,3.2,24.7,3,花蓮縣政府北方  36.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2018-12-21 21:27:46,122.21,24.55,4.2,9.4,2,宜蘭縣政府東偏南方  49.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-12-17 10:24:20,121.9,23.73,4.2,34.8,2,花蓮縣政府東南方  40.6  公里 (位於臺灣東部海域)(臺灣東部海域)
137   ,2018-12-16 05:21:05,121.91,23.73,5.8,32.9,4,花蓮縣政府東南方  41.0  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2018-12-15 10:33:51,121.85,24.49,3.3,23.6,3,宜蘭縣政府南偏東方  28.6  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2018-12-14 06:48:45,120.62,23.39,3.1,12.6,2,嘉義縣政府東偏南方  34.1  公里 (位於嘉義縣番路鄉)(嘉義縣番路鄉)
136   ,2018-12-14 04:56:39,121.52,24.06,3.6,19.0,4,花蓮縣政府西偏北方  12.2  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
135   ,2018-12-12 21:24:23,121.52,23.91,5.0,12.4,6,花蓮縣政府西南方  13.6  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2018-12-12 19:37:54,120.68,23.09,3.8,6.4,3,高雄市政府東北方  63.8  公里 (位於高雄市六龜區)(高雄市六龜區)
小區域有感地震,2018-12-11 19:08:31,121.03,24.73,1.9,5.9,2,新竹縣政府南方  10.4  公里 (位於新竹縣寶山鄉)(新竹縣寶山鄉)
134   ,2018-12-10 18:58:07,121.34,23.06,4.6,18.8,4,臺東縣政府北偏東方  39.1  公里 (位於臺東縣近海)(臺東縣近海)
133   ,2018-12-09 23:15:41,121.52,24.05,5.1,19.7,5,花蓮縣政府西偏北方  12.5  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2018-12-09 22:06:29,120.15,22.94,3.0,13.2,3,臺南市政府南偏西方  6.2  公里 (位於臺南市近海)(臺南市近海)
132   ,2018-12-09 00:07:07,120.71,23.62,4.2,15.8,4,雲林縣政府東偏南方  21.2  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2018-12-08 12:39:15,119.83,23.29,3.7,13.6,2,澎湖縣政府東南方  41.0  公里 (位於臺灣西部海域)(臺灣西部海域)
小區域有感地震,2018-12-08 07:46:23,119.82,23.3,3.8,16.3,2,澎湖縣政府東南方  40.2  公里 (位於臺灣西部海域)(臺灣西部海域)
小區域有感地震,2018-12-04 12:17:23,120.3,23.43,3.4,9.0,3,嘉義縣政府南方  3.3  公里 (位於嘉義縣鹿草鄉)(嘉義縣鹿草鄉)
小區域有感地震,2018-12-01 09:15:28,121.79,24.41,3.1,6.1,4,宜蘭縣政府南方  35.9  公里 (位於宜蘭縣近海)(宜蘭縣近海)
