編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2020-12-31 06:30:39,121.04,22.44,4.3,9.4,2,臺東縣政府南偏西方  36.5  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2020-12-29 08:41:37,122.23,24.86,4.4,106.5,1,宜蘭縣政府東偏北方  48.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2020-12-29 07:40:11,121.96,24.54,4.4,62.2,2,宜蘭縣政府東南方  29.4  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2020-12-28 01:49:58,121.31,22.85,3.4,20.2,2,臺東縣政府東偏北方  19.0  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2020-12-27 23:39:16,121.32,22.09,3.9,34.2,2,臺東縣政府南偏東方  75.9  公里 (位於臺灣東南部海域)(臺灣東南部海域)
074   ,2020-12-26 08:28:46,120.41,22.64,4.2,34.9,3,高雄市政府東方  10.2  公里 (位於高雄市大寮區)(高雄市大寮區)
小區域有感地震,2020-12-23 20:02:59,120.44,23.45,3.1,11.9,2,嘉義市政府南偏西方  3.5  公里 (位於嘉義市西區)(嘉義市西區)
小區域有感地震,2020-12-23 18:48:46,120.44,23.45,2.9,11.7,2,嘉義市政府南偏西方  3.5  公里 (位於嘉義市西區)(嘉義市西區)
小區域有感地震,2020-12-23 14:47:08,121.56,24.54,4.0,61.9,1,宜蘭縣政府西南方  29.5  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2020-12-21 16:27:15,120.57,23.08,3.8,8.9,3,高雄市政府北偏東方  57.7  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2020-12-19 09:17:04,121.64,23.95,4.0,29.9,2,花蓮縣政府南偏東方  4.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2020-12-17 14:42:12,121.61,23.79,3.9,33.8,2,花蓮縣政府南方  21.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2020-12-16 23:13:02,120.58,23.08,3.9,9.0,2,高雄市政府北偏東方  58.0  公里 (位於高雄市甲仙區)(高雄市甲仙區)
小區域有感地震,2020-12-16 02:13:20,121.08,24.52,3.6,4.2,2,新竹縣政府南偏東方  34.8  公里 (位於新竹縣五峰鄉)(新竹縣五峰鄉)
小區域有感地震,2020-12-15 02:45:33,122.02,24.72,4.4,67.8,2,宜蘭縣政府東方  26.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2020-12-11 19:52:57,121.59,24.45,3.9,48.5,2,宜蘭縣政府南偏西方  36.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
073   ,2020-12-11 02:15:08,121.97,24.53,5.7,62.7,4,宜蘭縣政府東南方  30.8  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2020-12-11 01:31:46,122.02,24.67,4.1,68.2,1,宜蘭縣政府東偏南方  27.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2020-12-10 21:27:31,122.01,24.72,4.7,73.3,2,宜蘭縣政府東方  24.8  公里 (位於臺灣東部海域)(臺灣東部海域)
072   ,2020-12-10 21:19:58,122.0,24.74,6.6,75.7,4,宜蘭縣政府東方  24.3  公里 (位於臺灣東部海域)(臺灣東部海域)
071   ,2020-12-10 13:29:38,121.55,23.45,5.4,38.0,4,花蓮縣政府南方  60.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2020-12-03 13:35:29,120.15,22.92,3.9,17.8,2,高雄市政府北偏西方  36.7  公里 (位於高雄市近海)(高雄市近海)
小區域有感地震,2020-12-02 16:46:52,120.69,22.18,4.0,31.3,2,屏東縣政府南偏東方  59.1  公里 (位於屏東縣獅子鄉)(屏東縣獅子鄉)
小區域有感地震,2020-12-01 14:37:30,120.5,23.71,3.6,10.7,3,雲林縣政府西偏北方  3.0  公里 (位於雲林縣斗六市)(雲林縣斗六市)
