編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2021-11-30 09:44:55,121.849,24.4645,3.8,22.4,3,宜蘭縣政府南南東方  30.8  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2021-11-29 07:11:27,121.669,24.1918,4.6,32.2,3,花蓮縣政府北北東方  22.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2021-11-26 05:15:08,121.282,21.9752,4.5,68.6,1,臺東縣政府南方  87.4  公里 (位於臺灣東南部海域)(臺灣東南部海域)
小區域有感地震,2021-11-24 17:55:18,122.412,24.0545,5.3,26.8,3,花蓮縣政府東方  80.9  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-11-24 08:33:47,121.148,23.0333,3.7,13.7,3,臺東縣政府北方  30.8  公里 (位於臺東縣關山鎮)(臺東縣關山鎮)
小區域有感地震,2021-11-18 15:08:28,120.415,23.2373,3.6,9.5,2,臺南市政府東北方  35.9  公里 (位於臺南市六甲區)(臺南市六甲區)
小區域有感地震,2021-11-18 11:38:04,121.708,23.8912,3.4,21.8,1,花蓮縣政府東南方  14.2  公里 (位於臺灣東部海域)(臺灣東部海域)
107   ,2021-11-17 10:25:35,122.18,24.7838,5.3,10.0,3,宜蘭縣政府東方  42.6  公里 (位於臺灣東部海域)(臺灣東部海域)
106   ,2021-11-14 21:05:15,121.935,24.5743,5.4,66.2,3,宜蘭縣政府東南方  24.6  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2021-11-14 17:38:22,121.567,23.4777,4.1,43.4,1,花蓮縣政府南方  57.1  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2021-11-14 13:16:48,121.469,23.9418,3.5,20.0,2,花蓮縣政府西南西方  16.4  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2021-11-12 23:05:26,121.804,24.234,3.8,17.7,2,花蓮縣政府東北方  32.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-11-11 20:59:33,120.236,23.3133,3.1,11.4,2,臺南市政府北方  36.0  公里 (位於臺南市鹽水區)(臺南市鹽水區)
小區域有感地震,2021-11-10 02:24:15,122.251,24.0357,4.9,20.6,1,花蓮縣政府東方  64.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-11-09 08:40:49,121.466,23.9333,3.5,20.3,3,花蓮縣政府西南西方  16.9  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2021-11-09 07:33:04,121.325,23.1578,3.9,12.6,3,臺東縣政府北北東方  48.0  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
小區域有感地震,2021-11-08 13:03:08,121.943,23.8262,4.5,26.0,2,花蓮縣政府東南東方  37.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2021-11-07 19:23:16,121.677,24.3178,4.5,46.6,2,花蓮縣政府北方  36.7  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2021-11-06 20:24:13,120.692,23.5232,3.7,8.5,3,嘉義縣政府東方  41.4  公里 (位於嘉義縣梅山鄉)(嘉義縣梅山鄉)
小區域有感地震,2021-11-06 05:35:48,121.454,23.9197,3.5,19.7,3,花蓮縣政府西南西方  18.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2021-11-06 01:57:15,120.441,23.5062,3.1,7.3,3,嘉義市政府北北西方  3.1  公里 (位於嘉義市東區)(嘉義市東區)
小區域有感地震,2021-11-01 00:23:15,121.785,24.5775,4.3,67.3,2,宜蘭縣政府南方  17.2  公里 (位於宜蘭縣南澳鄉)(宜蘭縣南澳鄉)
