編號,地震時間,經度,緯度,規模,深度,最大震度,位置
154   ,2009-12-31 13:38:41,121.62,23.78,4.6,33.3,3,花蓮西林地震站東方  18.4  公里(花蓮西林地震站東方  18.4  公里)
小區域有感地震,2009-12-31 08:13:51,121.76,24.23,2.9,13.3,2,宜蘭南澳地震站南方  22.0  公里(宜蘭南澳地震站南方  22.0  公里)
小區域有感地震,2009-12-29 21:30:12,121.61,24.0,3.1,8.4,3,花蓮市地震站北方  2.8  公里(花蓮市地震站北方  2.8  公里)
小區域有感地震,2009-12-29 12:47:22,121.42,23.42,3.7,40.1,2,花蓮玉里地震站東偏北方  14.6  公里(花蓮玉里地震站東偏北方  14.6  公里)
153   ,2009-12-29 05:10:44,122.36,24.74,4.9,98.3,3,宜蘭蘇澳地震站東偏北方  52.8  公里(宜蘭蘇澳地震站東偏北方  52.8  公里)
小區域有感地震,2009-12-28 21:55:00,120.24,23.27,3.4,11.7,3,台南佳里地震站北偏東方  11.3  公里(台南佳里地震站北偏東方  11.3  公里)
小區域有感地震,2009-12-28 16:12:00,121.73,24.29,3.0,17.6,3,宜蘭南澳地震站南方  15.1  公里(宜蘭南澳地震站南方  15.1  公里)
小區域有感地震,2009-12-28 06:33:05,121.67,24.38,2.3,6.3,3,宜蘭南澳地震站西偏南  9.4  公里(宜蘭南澳地震站西偏南  9.4  公里)
152   ,2009-12-27 21:57:21,122.01,24.79,4.8,71.7,2,宜蘭蘇澳地震站東北方  25.8  公里(宜蘭蘇澳地震站東北方  25.8  公里)
小區域有感地震,2009-12-27 15:03:46,121.79,24.32,3.1,13.9,3,宜蘭南澳地震站南偏東方  12.1  公里(宜蘭南澳地震站南偏東方  12.1  公里)
小區域有感地震,2009-12-27 03:30:52,121.01,22.38,3.0,11.0,2,台東大武地震站東偏北方  11.4  公里(台東大武地震站東偏北方  11.4  公里)
小區域有感地震,2009-12-26 19:38:04,121.01,22.38,3.4,11.6,2,台東大武地震站東偏北方  11.2  公里(台東大武地震站東偏北方  11.2  公里)
小區域有感地震,2009-12-26 17:03:15,121.47,23.74,2.7,8.8,3,花蓮西林地震站南偏東方  8.1  公里(花蓮西林地震站南偏東方  8.1  公里)
小區域有感地震,2009-12-26 08:18:30,121.01,22.37,3.2,11.0,2,台東大武地震站東方  11.1  公里(台東大武地震站東方  11.1  公里)
小區域有感地震,2009-12-26 06:18:21,121.61,24.32,3.2,25.7,3,宜蘭南澳地震站西南方  18.0  公里(宜蘭南澳地震站西南方  18.0  公里)
小區域有感地震,2009-12-26 02:21:08,121.81,24.41,2.6,12.7,3,宜蘭南澳地震站東偏南方  6.9  公里(宜蘭南澳地震站東偏南方  6.9  公里)
小區域有感地震,2009-12-25 21:55:12,121.81,24.41,2.4,12.7,3,宜蘭南澳地震站東方  5.9  公里(宜蘭南澳地震站東方  5.9  公里)
小區域有感地震,2009-12-25 21:42:48,121.81,24.42,2.6,12.8,2,宜蘭南澳地震站東方  6.2  公里(宜蘭南澳地震站東方  6.2  公里)
151   ,2009-12-25 21:00:15,121.82,24.41,4.4,14.0,5,宜蘭南澳地震站東偏南方  7.8  公里(宜蘭南澳地震站東偏南方  7.8  公里)
小區域有感地震,2009-12-25 11:56:15,122.25,23.98,4.6,20.8,1,花蓮市地震站東方  65.2  公里(花蓮市地震站東方  65.2  公里)
小區域有感地震,2009-12-25 08:31:53,121.81,24.3,2.9,14.2,2,宜蘭南澳地震站南偏東方  15.1  公里(宜蘭南澳地震站南偏東方  15.1  公里)
150   ,2009-12-24 17:48:44,121.63,23.99,3.8,9.1,3,花蓮市地震站東北方  2.5  公里(花蓮市地震站東北方  2.5  公里)
小區域有感地震,2009-12-24 13:33:43,121.6,23.78,4.2,28.8,2,花蓮西林地震站東方  16.1  公里(花蓮西林地震站東方  16.1  公里)
149   ,2009-12-24 00:51:51,121.6,23.9,4.3,23.5,4,花蓮市地震站南方  8.8  公里(花蓮市地震站南方  8.8  公里)
小區域有感地震,2009-12-23 23:20:15,121.02,22.38,4.0,10.9,3,台東大武地震站東方  12.0  公里(台東大武地震站東方  12.0  公里)
小區域有感地震,2009-12-23 19:27:34,121.93,24.27,3.7,55.8,1,宜蘭南澳地震站東南方  25.7  公里(宜蘭南澳地震站東南方  25.7  公里)
小區域有感地震,2009-12-23 10:48:34,121.6,23.9,3.7,23.0,3,花蓮市地震站南偏西方  8.1  公里(花蓮市地震站南偏西方  8.1  公里)
小區域有感地震,2009-12-23 04:32:04,121.6,23.91,3.5,22.7,2,花蓮市地震站南方  7.5  公里(花蓮市地震站南方  7.5  公里)
小區域有感地震,2009-12-22 22:48:16,121.61,23.97,3.1,7.7,2,花蓮市地震站西南方  .9  公里(花蓮市地震站西南方  .9  公里)
小區域有感地震,2009-12-21 09:18:25,121.55,23.78,3.5,20.4,2,花蓮西林地震站東偏南方  12.1  公里(花蓮西林地震站東偏南方  12.1  公里)
小區域有感地震,2009-12-21 07:19:08,121.54,23.78,3.6,18.0,3,花蓮西林地震站東偏南方  11.0  公里(花蓮西林地震站東偏南方  11.0  公里)
小區域有感地震,2009-12-21 05:07:30,121.68,23.86,3.9,50.5,1,花蓮市地震站南偏東方  14.1  公里(花蓮市地震站南偏東方  14.1  公里)
148   ,2009-12-20 20:06:14,121.65,23.84,4.2,38.7,2,花蓮市地震站南偏東方  15.8  公里(花蓮市地震站南偏東方  15.8  公里)
小區域有感地震,2009-12-20 19:55:30,121.65,23.78,3.2,30.9,1,花蓮西林地震站東方  21.6  公里(花蓮西林地震站東方  21.6  公里)
