編號,地震時間,經度,緯度,規模,深度,最大震度,位置
小區域有感地震,2013-12-31 05:30:46,121.85,24.4,2.6,15.0,3,宜蘭縣政府南偏東方  37.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-12-30 17:49:15,121.45,23.84,2.8,17.3,3,花蓮縣政府西南方  24.0  公里 (位於花蓮縣壽豐鄉)(花蓮縣壽豐鄉)
小區域有感地震,2013-12-29 16:32:40,121.78,24.19,3.6,8.2,2,花蓮縣政府東北方  27.4  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-12-29 10:02:36,121.67,24.11,3.0,8.4,3,花蓮縣政府北偏東方  13.8  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-12-27 10:24:40,121.66,24.11,2.6,8.9,3,花蓮縣政府北偏東方  13.5  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-12-26 22:52:52,121.85,24.64,3.8,72.4,1,宜蘭縣政府東南方  13.1  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-12-26 06:31:40,121.39,23.68,3.4,16.7,2,花蓮縣政府西南方  41.1  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉)
166   ,2013-12-25 15:38:55,121.42,23.68,4.3,19.0,4,花蓮縣政府南偏西方  40.0  公里 (位於花蓮縣光復鄉)(花蓮縣光復鄉)
165   ,2013-12-25 04:29:15,121.21,22.64,4.9,64.4,3,臺東縣政府南偏東方  13.9  公里 (位於臺灣東部海域)(臺灣東部海域)
164   ,2013-12-25 03:14:45,121.49,23.93,3.1,13.7,3,花蓮縣政府西偏南方  15.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-12-25 00:50:32,121.91,24.39,3.8,24.9,3,宜蘭縣政府南偏東方  40.3  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-12-24 09:59:26,121.49,24.28,3.2,5.8,2,花蓮縣政府北偏西方  34.8  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-12-23 23:28:41,121.9,24.46,3.1,21.1,2,宜蘭縣政府南偏東方  33.5  公里 (位於宜蘭縣近海)(宜蘭縣近海)
小區域有感地震,2013-12-22 16:01:21,121.38,23.19,3.5,19.0,2,臺東縣政府北偏東方  53.5  公里 (位於臺東縣成功鎮)(臺東縣成功鎮)
163   ,2013-12-22 12:18:02,121.7,24.61,4.4,41.8,3,宜蘭縣政府南偏西方  14.7  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2013-12-22 01:02:47,121.68,24.12,3.3,8.9,3,花蓮縣政府北偏東方  16.0  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-12-20 15:39:22,121.29,23.04,3.2,12.5,3,臺東縣政府北偏東方  35.0  公里 (位於臺東縣東河鄉)(臺東縣東河鄉)
小區域有感地震,2013-12-19 09:59:11,120.57,23.61,2.9,10.9,1,雲林縣政府南偏東方  11.1  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
162   ,2013-12-18 13:29:35,121.79,24.19,4.2,10.9,3,花蓮縣政府東北方  27.6  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-12-17 20:39:45,121.78,24.19,3.5,9.4,2,花蓮縣政府東北方  27.8  公里 (位於臺灣東部海域)(臺灣東部海域)
161   ,2013-12-16 17:47:22,121.69,24.89,3.9,107.4,1,宜蘭縣政府北偏西方  18.5  公里 (位於新北市坪林區)(新北市坪林區)
小區域有感地震,2013-12-16 13:32:19,121.82,24.41,2.9,11.9,3,宜蘭縣政府南方  35.7  公里 (位於宜蘭縣近海)(宜蘭縣近海)
160   ,2013-12-15 10:07:49,120.76,23.18,3.8,8.2,4,嘉義市政府東南方  45.5  公里 (位於高雄市桃源區)(高雄市桃源區)
小區域有感地震,2013-12-14 19:31:10,121.38,22.81,4.1,9.4,2,臺東縣政府東偏北方  23.7  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-12-13 22:26:12,121.68,24.22,2.9,16.2,3,花蓮縣政府北偏東方  26.6  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-12-11 00:05:52,121.48,23.95,2.8,16.5,2,花蓮縣政府西偏南方  15.3  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-12-08 07:17:02,121.52,23.72,3.0,7.0,3,花蓮縣政府南偏西方  31.4  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2013-12-07 15:22:00,121.52,23.63,3.5,37.4,2,花蓮縣政府南偏西方  41.5  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
小區域有感地震,2013-12-07 14:53:22,120.49,23.52,3.4,13.0,2,嘉義市政府東北方  5.7  公里 (位於嘉義縣竹崎鄉)(嘉義縣竹崎鄉)
小區域有感地震,2013-12-07 03:23:00,122.49,23.81,4.9,31.2,1,花蓮縣政府東偏南方  90.5  公里 (位於臺灣東部海域)(臺灣東部海域)
小區域有感地震,2013-12-07 01:00:39,121.39,24.41,2.5,4.4,3,宜蘭縣政府西南方  51.7  公里 (位於宜蘭縣大同鄉)(宜蘭縣大同鄉)
小區域有感地震,2013-12-06 15:26:54,121.54,23.74,3.1,9.8,3,花蓮縣政府南偏西方  28.4  公里 (位於花蓮縣豐濱鄉)(花蓮縣豐濱鄉)
159   ,2013-12-04 18:19:46,121.44,23.84,3.6,20.3,3,花蓮縣政府西南方  25.0  公里 (位於花蓮縣秀林鄉)(花蓮縣秀林鄉)
小區域有感地震,2013-12-03 19:58:27,121.6,23.9,2.7,8.0,2,花蓮縣政府南偏西方  9.9  公里 (位於花蓮縣近海)(花蓮縣近海)
小區域有感地震,2013-12-03 18:54:34,120.71,23.59,3.5,15.6,3,雲林縣政府東偏南方  22.3  公里 (位於雲林縣古坑鄉)(雲林縣古坑鄉)
小區域有感地震,2013-12-03 17:15:24,121.68,24.11,3.8,39.1,2,花蓮縣政府北偏東方  14.1  公里 (位於花蓮縣近海)(花蓮縣近海)
